0064 41278.562	 1331.022 	 10828.219 	 20651.177 	 4060.876 	 7512
0064 43418.536	 1634.950 	 11186.178 	 21203.377 	 4793.746 	 7512
0064 41649.099	 1465.430 	 10886.224 	 20795.450 	 4068.140 	 7512
0064 42269.348	 1621.872 	 11004.748 	 21011.456 	 4145.349 	 7512
0064 41086.730	 1321.790 	 10806.685 	 20497.052 	 4063.985 	 7512
0064 41685.478	 1527.835 	 10847.760 	 20841.174 	 4062.429 	 7512
0064 42432.138	 1706.567 	 10965.909 	 21175.047 	 4163.937 	 7512
0064 42062.543	 1609.653 	 10915.895 	 20935.293 	 4145.967 	 7512
0064 41429.148	 1340.268 	 10869.500 	 20683.701 	 4116.375 	 7512
0064 42001.204	 1523.805 	 11015.140 	 20872.221 	 4126.906 	 7512
0128 34779.806	 1512.777 	 8895.468 	 17523.036 	 3352.004 	 12520
0128 35127.345	 1449.794 	 9052.981 	 17462.205 	 3441.911 	 12520
0128 34887.574	 1377.644 	 8946.625 	 17698.396 	 3358.618 	 12520
0128 37723.993	 2071.197 	 9261.569 	 18495.310 	 4098.189 	 12520
0128 35859.844	 1640.080 	 9111.240 	 17699.666 	 3677.946 	 12520
0128 35137.449	 1471.443 	 8954.298 	 17628.481 	 3482.353 	 12520
0128 35615.950	 1694.246 	 8989.763 	 17777.356 	 3504.429 	 12520
0128 35893.444	 1810.714 	 9015.087 	 17898.557 	 3497.760 	 12520
0128 35225.925	 1580.814 	 8941.236 	 17854.980 	 3345.939 	 12520
0128 36228.206	 1949.608 	 9155.600 	 17924.308 	 3614.507 	 12520
0128 34643.749	 1498.955 	 8871.889 	 17455.883 	 3330.118 	 12520
0128 34657.865	 1451.925 	 8879.370 	 17522.127 	 3313.113 	 12520
0128 34822.862	 1549.496 	 8891.113 	 17536.289 	 3347.638 	 12520
0128 34734.896	 1477.553 	 8904.124 	 17505.895 	 3347.135 	 12520
0128 34804.118	 1389.961 	 8949.375 	 17505.017 	 3457.573 	 12520
0128 34693.308	 1500.171 	 8869.509 	 17473.952 	 3348.133 	 12520
0128 34541.664	 1470.717 	 8843.695 	 17419.007 	 3322.306 	 12520
0128 34815.534	 1486.066 	 8900.367 	 17576.285 	 3351.515 	 12520
0128 34940.524	 1597.925 	 8916.764 	 17576.378 	 3344.304 	 12520
0128 34808.771	 1490.338 	 8869.838 	 17577.219 	 3377.114 	 12520
0256 17986.948	 951.316 	 4505.012 	 8993.199 	 1741.998 	 12520
0256 17929.730	 963.785 	 4484.040 	 8963.307 	 1716.696 	 12520
0256 17965.689	 949.462 	 4499.771 	 8984.435 	 1729.508 	 12520
0256 17889.360	 918.887 	 4507.578 	 8996.493 	 1664.416 	 12520
0256 18146.294	 1015.448 	 4523.440 	 9101.051 	 1695.755 	 12520
0256 18109.487	 999.236 	 4516.635 	 9094.213 	 1693.416 	 12520
0256 18236.960	 996.603 	 4537.890 	 9084.643 	 1783.610 	 12520
0256 18326.919	 1019.978 	 4509.761 	 9306.466 	 1684.888 	 12520
0256 17999.005	 946.924 	 4518.459 	 9044.849 	 1677.423 	 12520
0256 18053.778	 982.812 	 4499.836 	 8948.965 	 1787.308 	 12520
0256 17943.919	 967.865 	 4490.335 	 9019.872 	 1668.543 	 12520
0256 18753.663	 1225.980 	 4589.194 	 9256.592 	 1851.231 	 12520
0256 17993.389	 997.515 	 4489.453 	 9031.443 	 1665.957 	 12520
0256 17957.245	 943.821 	 4512.224 	 9011.294 	 1687.587 	 12520
0256 17900.560	 904.794 	 4507.344 	 8969.690 	 1709.581 	 12520
0256 17996.898	 970.189 	 4508.390 	 9039.675 	 1669.543 	 12520
0256 18024.010	 935.006 	 4530.544 	 9034.554 	 1712.876 	 12520
0256 18778.265	 1253.786 	 4568.602 	 9268.550 	 1851.886 	 12520
0256 18037.995	 1006.600 	 4497.018 	 9047.453 	 1684.343 	 12520
0256 17889.365	 901.914 	 4497.181 	 8956.064 	 1727.490 	 12520
0512 9076.700	 511.899 	 2116.412 	 4671.167 	 878.876 	 12520
0512 9078.997	 529.546 	 2117.927 	 4670.282 	 863.726 	 12520
0512 9141.249	 542.270 	 2119.694 	 4706.148 	 873.438 	 12520
0512 9351.950	 609.875 	 2135.867 	 4737.062 	 961.252 	 12520
0512 9071.187	 512.797 	 2113.524 	 4672.263 	 874.300 	 12520
0512 9322.061	 568.366 	 2140.374 	 4752.021 	 924.746 	 12520
0512 9252.012	 542.008 	 2155.728 	 4722.834 	 898.384 	 12520
0512 9168.059	 539.997 	 2124.032 	 4728.633 	 880.009 	 12520
0512 9841.682	 714.905 	 2148.946 	 4969.440 	 1097.034 	 12520
1024 4851.741	 334.264 	 1046.459 	 2562.224 	 450.993 	 12520
1024 4826.411	 355.877 	 1048.463 	 2481.156 	 480.302 	 12520
1024 4742.164	 326.124 	 1047.970 	 2462.277 	 446.628 	 12520
1024 4760.142	 329.902 	 1044.812 	 2477.544 	 447.835 	 12520
1024 4751.742	 321.896 	 1049.723 	 2464.799 	 454.614 	 12520
1024 4762.386	 334.044 	 1049.130 	 2475.898 	 444.919 	 12520
1024 4727.843	 332.714 	 1045.390 	 2451.910 	 438.600 	 12520
1024 4778.122	 341.610 	 1048.095 	 2483.653 	 446.010 	 12520
1024 4811.113	 349.808 	 1052.582 	 2478.132 	 466.270 	 12520
1024 4837.588	 345.929 	 1058.994 	 2488.221 	 469.139 	 12520
1024 4808.870	 343.044 	 1045.214 	 2515.027 	 447.308 	 12520
1024 4852.343	 352.416 	 1059.097 	 2494.308 	 470.881 	 12520
1024 4793.278	 342.878 	 1048.603 	 2469.139 	 469.808 	 12520
1024 4779.566	 337.121 	 1047.382 	 2466.900 	 468.300 	 12520
1024 4831.682	 350.475 	 1055.141 	 2481.058 	 473.802 	 12520
1024 4805.144	 344.251 	 1053.152 	 2480.794 	 462.385 	 12520
1024 4988.764	 381.006 	 1052.548 	 2531.694 	 555.875 	 12520
1024 4855.249	 365.839 	 1055.554 	 2497.760 	 470.329 	 12520
1024 4808.413	 346.024 	 1052.318 	 2472.935 	 470.293 	 12520
1024 4832.525	 355.665 	 1056.043 	 2484.018 	 468.921 	 12520
1024 4875.620	 347.565 	 1052.636 	 2532.047 	 474.023 	 12520
1024 4984.692	 377.479 	 1052.687 	 2533.665 	 553.379 	 12520
1024 4829.375	 357.700 	 1055.540 	 2483.541 	 466.268 	 12520
2048 1350.729	 142.838 	 254.548 	 709.545 	 125.244 	 6260
2048 1357.360	 130.768 	 256.852 	 706.237 	 140.084 	 6260
2048 1358.915	 143.773 	 254.664 	 714.163 	 127.700 	 6260
2048 1376.214	 134.873 	 256.838 	 715.135 	 146.043 	 6260
2048 1366.283	 132.941 	 256.728 	 713.469 	 140.146 	 6260
2048 1359.253	 132.163 	 256.942 	 707.299 	 139.636 	 6260
2048 1357.566	 130.870 	 256.914 	 706.061 	 140.220 	 6260
2048 1373.516	 132.572 	 256.936 	 721.681 	 139.138 	 6260
2048 1371.938	 131.852 	 257.060 	 718.499 	 141.218 	 6260
2048 1360.219	 132.238 	 257.154 	 706.297 	 141.285 	 6260
2048 1363.383	 133.391 	 257.330 	 708.863 	 140.592 	 6260
2048 1357.935	 131.589 	 256.834 	 705.908 	 140.424 	 6260
2048 1361.312	 133.051 	 256.892 	 708.766 	 139.617 	 6260
2048 1368.728	 130.860 	 256.575 	 710.790 	 147.808 	 6260
